0, 7, -2, 2, -7, 16, -6, 11, -12, 22
-6, 16, -12, 23, -3, 17, -8, 19, 4, 13
-1, 11, 13, 7, 8, 2, 22, 1, 16, -4
27, -1, 20, -8, 28, 0, 20, -7, 23, 3
16, -2, 14, 10, 8, 4, 3, 17, 0, 10
-6, 22, -5, 14, -13, 22, -7, 14, -15, 17
-6, 9, -13, 8, 0, 1, -7, -3, 5, -7
-1, -14, 10, -14, 3, -22, 12, -18, 4, -25
9, -16, 1, -23, 2, -11, -4, -17, -7, -4
-11, -10, -17, 3, -18, -2, -25, 8, -21, 1
-28, 8, -19, 1, -25, 4, -13, -1, -18, -2
-4, -6, -9, -10, 5, -11, 0, -17, 13, -14
7, -20, 16, -12, 10, -18, 15, -6, 9, -11
9, 3, 5, -1, 1, 13, 0, 8, -5, 21
-3, 16, -9, 26, -3, 19, -9, 25, 0, 18
-5, 19, 7, 13, 2, 10, 16, 7, 10, 1
23, 0, 17, -6, 27, -2, 20, -9, 26, -1
18, -8, 19, 2, 12, -3, 9, 9, 4, 2
-1, 15, -4, 8, -11, 19, -9, 11, -18, 18
-11, 10, -19, 12, -8, 4, -15, 2, -3, -3
0, 0, 0, 0, 0
